"type","x","y","z","vx","vy","vz","fx","fy","fz","omegax","omegay","omegaz","radius"
0,0.323325,-0.931988,0.0298232,1.27E-06,-2.62E-06,2.46E-06,0.00012111,-1.21E-05,-7.31E-05,2.22E-05,6.22E-06,-5.55E-06,0.03
0,0.462185,-0.934259,0.0297673,-1.43E-07,-4.33E-06,2.40E-07,0.000138787,0.000199077,-3.40E-05,8.43E-05,-7.22E-06,-7.52E-05,0.03
0,0.917387,-0.930703,0.0299371,-3.59E-07,8.02E-07,7.68E-07,5.41E-05,0.000101268,-5.24E-05,-1.68E-05,-1.24E-08,-1.21E-05,0.03
0,-1.02731,-0.913508,0.0299402,6.73E-07,-1.93E-07,1.20E-07,6.32E-05,6.83E-05,4.50E-05,1.34E-06,1.19E-05,-5.91E-06,0.03
0,-0.962507,-0.896807,0.0299391,1.51E-06,7.04E-08,3.39E-07,6.21E-05,5.38E-05,1.27E-05,-8.39E-06,2.71E-06,2.49E-05,0.03
0,-0.903449,-0.907135,0.0298748,3.39E-06,-2.58E-07,1.08E-06,3.03E-05,0.00012211,-3.83E-05,8.46E-06,3.33E-05,-4.04E-05,0.03
0,-0.761814,-0.884994,0.0299513,2.78E-06,-7.34E-07,2.80E-07,-0.000144569,0.000106988,5.53E-06,2.68E-06,3.94E-05,6.32E-05,0.03
0,-0.122354,-0.892204,0.029756,1.57E-06,-1.25E-06,-2.61E-06,1.66E-05,2.79E-05,9.78E-05,4.32E-05,1.96E-05,3.00E-05,0.03
0,0.279628,-0.891041,0.0298658,2.62E-06,-2.53E-06,1.52E-06,0.000116762,-1.56E-05,-6.04E-05,5.95E-06,1.87E-05,-2.80E-05,0.03
0,0.367946,-0.887178,0.0296572,1.95E-06,-3.87E-06,1.96E-06,0.000121801,0.000100357,-0.000126518,8.15E-05,3.41E-05,-5.35E-05,0.03
0,0.558649,-0.898935,0.0296294,-7.01E-07,-3.95E-06,-2.52E-07,0.000111761,0.000100643,-4.17E-05,7.99E-05,-1.13E-05,0.000102361,0.03
0,0.695524,-0.908852,0.0298704,1.33E-07,-4.97E-07,-1.27E-07,8.76E-05,-4.23E-05,9.93E-06,1.78E-05,9.42E-06,1.43E-05,0.03
0,0.811298,-0.909321,0.0298939,5.13E-07,-1.35E-08,-5.91E-07,5.23E-05,0.000109126,-3.23E-05,-1.56E-06,1.03E-05,1.85E-05,0.03
0,0.870358,-0.893489,0.0298781,-4.33E-08,1.91E-06,8.68E-08,2.85E-05,5.34E-05,6.82E-06,-3.84E-05,-4.82E-06,-2.39E-05,0.03
0,1.0043,-0.883398,0.0299542,-4.66E-07,-4.21E-07,-9.68E-08,-5.75E-06,-1.63E-05,-2.41E-05,3.14E-06,-1.48E-06,3.65E-08,0.03
0,-0.560861,-0.866141,0.0297483,2.99E-06,-2.36E-06,-1.24E-06,6.97E-05,9.37E-05,0.000110521,2.49E-05,3.29E-05,-1.40E-05,0.03
